"ECO_CODE","ECOREGION","PROV_CODE","PROVINCE","RLM_CODE","REALM","ALT_CODE","ECO_CODE_X","Lat_Zone","artisanal_fishing","cumulative_impacts.gri","demersal_destructive_fishing","demersal_nondest_high_bycatch","demersal_nondest_low_bycatch","inorganic","night_lights","ocean_acidification","oil_rigs","pelagic_high_bycatch","pelagic_low_bycatch","plumes_fert","plumes_pest","population","sst","uv"
20093,"Central Somali Coast",19,"Somali/Arabian",5,"Western Indo-Pacific",93,93,"Tropical",9.71949206222962e-05,3.34148418574278,0.0126384990983485,0.00460426033268,0.0039351824212961,0.00458926202133353,0,1.03299053225588,0,0.000689440677700651,0.00336885610787979,0,0,0.00388064434286455,1.65647965197792,0.618210666392637
20094,"Northern Monsoon Current Coast",20,"Western Indian Ocean",5,"Western Indo-Pacific",89,94,"Tropical",0.000467747128891005,3.39032266336939,0.0107631638381402,0.00572250524291388,0.00393708300290951,0.00538699951329129,3.61121316247968e-05,1.05987107126259,0,0.00704420428734275,0.00359410996019544,0.0032104033205004,0.000548911187583767,0.00572959701114788,1.70711274566969,0.576898022146713
20095,"East African Coral Coast",20,"Western Indian Ocean",5,"Western Indo-Pacific",88,95,"Tropical",0.00207014560079083,3.4107782512577,0.0495456498949766,0.0435053894582017,0.0123947481108317,0.0162710930826771,0.000574452403322943,1.04074946665249,0,0.00733708369318874,0.00289798798577233,0.00637912722371882,0.000741821359876582,0.0146586722677358,1.6861347958922,0.527517819189718
20096,"Seychelles",20,"Western Indian Ocean",5,"Western Indo-Pacific",86,96,"Tropical",7.34433533021314e-05,3.44137888613817,0.00245309463173322,0.000902054191184991,0.00866203705169962,4.954441755149e-05,7.23031066743123e-05,1.09719186090849,0,0.00748134670990528,0.0119744933971852,1.92178524553362e-06,3.45969020856802e-07,0.000425594734572971,1.69039383741634,0.621697012012447
20097,"Cargados Carajos/Tromelin Island",20,"Western Indian Ocean",5,"Western Indo-Pacific",83,97,"Tropical",9.78405025281167e-08,3.56676821862971,0.0465035148461764,0.0203459350857261,0.0190977248487722,0,0,1.08902489687638,0,0.00386214120315054,0.0119194857709587,0,0,5.42337429306508e-05,1.78121867427172,0.594741511219198
20098,"Mascarene Islands",20,"Western Indian Ocean",5,"Western Indo-Pacific",85,98,"Tropical",0.000130463371736796,3.75050706046206,0.00272182731432059,0.00225626302212403,0.00577771921729645,0.000911126707348044,0.000290774283235727,1.21145128127813,0,0,0.00792248418399335,0.000475711060807274,0.000315189670833269,0.000793845615370233,1.83421979774045,0.68324056820004
20099,"Southeast Madagascar",20,"Western Indian Ocean",5,"Western Indo-Pacific",87,99,"Tropical",0.000556915830136572,3.76809291747961,0.0398036308621694,0.00783263382629706,0.0102019058543175,0.0063594519297995,1.87789599289574e-05,1.15484584970218,0,0,0.00744702231348021,0.000356492791629998,9.21405193007197e-06,0.00485951306186612,1.83380558777753,0.701995920989735
20100,"Western and Northern Madagascar",20,"Western Indian Ocean",5,"Western Indo-Pacific",91,100,"Tropical",0.000877707677935894,3.57461571250862,0.038071841995755,0.00979852202018217,0.0118898177856267,0.00603320100166917,0.000119801459199568,1.09862399929938,0,0.000862139188498398,0.00843322847057131,0.000733910592460777,3.6508065803088e-05,0.00757867144476894,1.72637947468936,0.665176876152837
20101,"Bight of Sofala/Swamp Coast",20,"Western Indian Ocean",5,"Western Indo-Pacific",90,101,"Tropical",0.000288745891955905,3.25170490036601,0.0437622632683062,0.00345213313357111,0.0031330414080507,0.0148846167020617,9.07372313767965e-05,0.984590695960503,0,0,0.00204829800231032,0.00622246678266087,0.00127371645869365,0.00831782570773902,1.64279205795206,0.540848295164176
20102,"Delagoa",20,"Western Indian Ocean",5,"Western Indo-Pacific",84,102,"Tropical",0.000599518180698585,3.48268641005306,0.026852804815576,0.00254158096903312,0.00641844471718638,0.00406173965210011,0.000202721679793974,1.11631191122672,0,0.00159489216144816,0.00230799707312918,0.00246496414624407,0.000647663273013967,0.00681528560188073,1.70490073554428,0.606966149785646
20103,"Western India",21,"West and South Indian Shelf",5,"Western Indo-Pacific",100,103,"Tropical",0.00106651266159255,3.67462418071347,0.273369059781115,0.179172530048763,0.0881655073995822,0.0304633860681235,0.00235209792014653,0.889941014870696,0.000994588937845459,0,0.00498225476150061,0.0351051812778496,0.00241542377093378,0.0139158490511269,1.55448230849421,0.598198462837608
20104,"South India and Sri Lanka",21,"West and South Indian Shelf",5,"Western Indo-Pacific",99,104,"Tropical",0.00087489006132056,4.2032599540478,0.102016998001209,0.0822463653380864,0.0614243302257221,0.0139954123567173,0.00124266753778885,1.04071659367998,0,0.711926867695705,0.0300280808584127,0.0156197810107362,0.000465875313151917,0.00897105371900012,1.5359708221515,0.597760206513045
20105,"Maldives",22,"Central Indian Ocean Islands",5,"Western Indo-Pacific",102,105,"Tropical",0.00117237407151928,3.49936161581683,0.0356244363126397,0.0199003198313612,0.030572965689741,2.58912887116599e-05,0.00040939111233017,1.10558489393822,0,8.17920854524052e-05,0.0342003770934326,2.56264336887511e-08,6.90749396625746e-11,0.00422412612041014,1.59946510519221,0.668099911657491
20106,"Chagos",22,"Central Indian Ocean Islands",5,"Western Indo-Pacific",101,106,"Tropical",0,3.42538037553779,0.000738104901745771,0.000648702201897797,0.00375558482666282,0,6.03039347248483e-05,1.10694035443564,0,2.80913051344963e-06,0.005542785822321,0,0,0,1.66252278134348,0.645168932554468
20107,"Eastern India",23,"Bay of Bengal",5,"Western Indo-Pacific",103,107,"Tropical",0.000577050812459863,3.7813657873405,0.17241858864922,0.104644055611354,0.067532952027863,0.0269345263822653,0.00104852961495293,1.00683202466527,0.000197492211591012,0.0335345624711032,0.00887646200735541,0.0289638209950336,0.00169390960231189,0.00741501138260761,1.71921466034181,0.601482144791058
20108,"Northern Bay of Bengal",23,"Bay of Bengal",5,"Western Indo-Pacific",104,108,"Tropical",0.0019359412562541,3.47841359573255,0.250758207320339,0.184319156956439,0.0721517088746857,0.0275135851743698,0.000349593567850462,0.835997505873919,1.55583336841585e-05,0.00525868194113269,0.0044417642535554,0.0261207764518085,0.00391132585040494,0.021578731005076,1.50714556362631,0.536915497240982
20109,"Andaman and Nicobar Islands",24,"Andaman",5,"Western Indo-Pacific",105,109,"Tropical",0.000300062384620381,3.61418489089246,0.0984208150577946,0.0834152139213582,0.0406121785101331,0.000726776554293488,9.99600754290821e-05,1.05317178480851,0,0.0131305304620027,0.00884875223221884,0.00137134866754378,4.94676991549389e-06,0.0047247022739835,1.66767648062028,0.641681346360792
